# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Ancient Silver Dragon	PCLB	56s	CLB	56
Ancient Silverback	7ED	230★	7ED	230
Ancient Silverback	9ED	230★	9ED	230
And They Shall Know No Fear	40K	9★	40K	9
Andúril, Flame of the West	LTR	746z	LTR	746
Andúril, Flame of the West	PLTR	236s	LTR	236
Angel of Condemnation	PHOU	3s	HOU	3
Angel of Deliverance	PSOI	2s	PSOI	2
Angel of Destiny	PZNR	2p	ZNR	2
Angel of Destiny	PZNR	2s	ZNR	2
Angel of Finality	FDC	11	AFC	63
Angel of Invention	PKLD	4s	KLD	4
Angel of Mercy	10E	2★	10E	2
Angel of Mercy	8ED	1★	8ED	1
Angel of Mercy	9ED	1★	9ED	1
Angel of Sanctions	PAKH	1s	AKH	1
Angel of Suffering	PSNC	67p	SNC	67
Angel of Suffering	PSNC	67s	SNC	67
Angel of Vitality	FDC	13	CLU	53
Angel of the Ruins	FDC	12	BLC	134
Angel's Feather	9ED	287★	9ED	287
Angel's Grace	PTSR	4p	TSR	4
Angelfire Ignition	PMID	209p	MID	209
Angelfire Ignition	PMID	209s	MID	209
Angelic Blessing	10E	3★	10E	3
Angelic Blessing	9ED	2★	9ED	2
Angelic Captain	PBFZ	208s	BFZ	208
Angelic Destiny	FDC	14	FDN	565
Angelic Field Marshal	FDC	15	C14	2
Angelic Page	7ED	1★	7ED	1
Angelic Page	8ED	2★	8ED	2
Angelic Rocket	ULST	54	UST	139
Angelic Skirmisher	PGTC	A11	GTC	3
Angelic Sleuth	FDC	16	NCC	113
Angelic Sleuth	PNCC	12p	NCC	12
Angelic Wall	10E	5★	10E	5
Anger	FDC	137	AFC	113
Anger	WC03	pk77	JUD	77
Angrath's Marauders	PXLN	132s	XLN	132
Angrath, Captain of Chaos	PWAR	227s	WAR	227
Angrath, the Flame-Chained	PRIX	152s	RIX	152
Anguished Unmaking	PSOI	242p	PSOI	242
Anguished Unmaking	PSOI	242s	PSOI	242
Anim Pakal, Thousandth Moon	PLCI	223p	LCI	223
Anim Pakal, Thousandth Moon	PLCI	223s	LCI	223
Animal Sanctuary	PM21	242p	M21	242
Animal Sanctuary	PM21	242s	M21	242
Animar, Soul of Elements	OCMD	181	CMD	181
Animate Artifact	CED	49	2ED	49
Animate Artifact	CEI	49	2ED	49
Animate Artifact	SUM	48	30A	48
Animate Dead	CED	93	2ED	93
Animate Dead	CEI	93	2ED	93
Animate Dead	SUM	93	2ED	93
Animate Wall	CED	1	2ED	1
Animate Wall	CEI	1	2ED	1
Animate Wall	SUM	1	2ED	1
Animation Module	PKLD	194s	KLD	194
Anje Falkenrath	OC19	37	C19	37
Anje, Maid of Dishonor	PVOW	231s	VOW	231
Ankh of Mishra	CED	231	2ED	231
Ankh of Mishra	CEI	231	2ED	231
Ankh of Mishra	SUM	233	3ED	233
Ankle Shanker	PKTK	164s	PKTK	164
Annex	9ED	59★	9ED	59
Annie Flash, the Veteran	POTJ	190p	OTJ	190
Annie Flash, the Veteran	POTJ	190s	OTJ	190
Annul	WC00	jf59sb	EOE	394
Annul	WC04	ap29sb	EOE	394
Annul	WC04	gn29	MRD	29
Anointed Peacekeeper	PDMU	2p	DMU	2
Anointed Peacekeeper	PDMU	2s	DMU	2
Anointed Procession	PAKH	2s	AKH	2
Another Round	POTJ	1p	OTJ	1
Another Round	POTJ	1s	OTJ	1
Anrakyr the Traveller	40K	28★	40K	28
Anthem of Champions	PFDN	116p	FDN	116
Anthem of Champions	PFDN	116s	FDN	116
Anticausal Vestige	PEOE	1p	EOE	1
Anticausal Vestige	PEOE	1s	EOE	1
Antiquities on the Loose	PSOS	7p	SOS	7
Anurid Brushhopper	WC02	bk137	JUD	137
Anurid Brushhopper	WC03	dz137sb	JUD	137
Anzrag's Rampage	PMKM	111p	MKM	111
Anzrag's Rampage	PMKM	111s	MKM	111
Anzrag, the Quake-Mole	PMKM	186p	MKM	186
Anzrag, the Quake-Mole	PMKM	186s	MKM	186
Ao, the Dawn Sky	PNEO	2p	NEO	2
Ao, the Dawn Sky	PNEO	2s	NEO	2
Apex of Power	PM19	129s	M19	129
Aphemia, the Cacophony	PTHB	84p	THB	84
Aphemia, the Cacophony	PTHB	84s	THB	84
Apocalypse Chime	PTC	et101sb	HML	101
Apocalypse Chime	PTC	ll101sb	HML	101
Apocalypse Demon	PHOU	58s	HOU	58
Appa, Steadfast Guardian	PTLA	10s	TLA	10
Applied Geometry	PSOS	172p	SOS	172
Aquamoeba	WC03	dh24	TOR	24
Arachnogenesis	FDC	187	C15	32
Aragorn, Company Leader	PLTR	191s	LTR	191
Aragorn, the Uniter	LTR	741z	LTR	741
Aragorn, the Uniter	PLTR	192s	LTR	192
Arahbo, Roar of the World	OC17	35	C17	35
Arahbo, the First Fang	PFDN	2s	FDN	2
Arashin Foremost	PDTK	3s	DTK	3
Arashin Sovereign	PDTK	212s	PDTK	212
Arashin War Beast	UGIN	123	FRF	123
Arborback Stomper	KLD	142†	KLD	142
Arc Lightning	UGIN	97	KTK	97
Arc Lightning	WC00	jk174	USG	174
Arc Lightning	WC99	mlp174	USG	174
Arc Lightning	WC99	mlp174sb	BRB	5
Arcades, the Strategist	PM19	212s	M19	212
Arcane Adaptation	PXLN	46p	XLN	46
Arcane Adaptation	PXLN	46s	XLN	46
Arcane Bombardment	PSNC	101p	SNC	101
Arcane Bombardment	PSNC	101s	SNC	101
Arcane Laboratory	7ED	60★	7ED	60
Arcane Proxy	PBRO	75p	BRO	75
Arcane Proxy	PBRO	75s	BRO	75
Arcane Sanctum	40K	264★	40K	264
Arcane Teachings	10E	188★	10E	188
Arcanis the Omnipotent	WC03	pk66	10E	66
Arcbond	PFRF	91s	FRF	91
Arcbound Ravager	WC04	ap100	DST	100
Arcbound Worker	WC04	ap104a	DDF	40
Arch of Orazca	PRIX	185p	RIX	185
Arch of Orazca	PRIX	185s	RIX	185
Archangel Avacyn // Avacyn, the Purifier	PSOI	5s	SOI	5
Archangel Elspeth	PMOM	6p	MOM	6
Archangel Elspeth	PMOM	6s	MOM	6
Archangel of Tithes	FDC	17	ORI	4
