# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Liesa, Forgotten Archangel	PMID	232★	MID	232
Life Insurance	PNCC	74p	NCC	74
Life from the Loam	RVR	350z	RVR	350
Life of the Party	PNCC	48p	NCC	48
Lifecraft Engine	PDFT	234p	DFT	234
Lifecraft Engine	PDFT	234s	DFT	234
Lifecrafter's Bestiary	PAER	162p	AER	162
Lifecrafter's Bestiary	PAER	162s	AER	162
Lifeforce	CED	207	2ED	207
Lifeforce	CEI	207	2ED	207
Lifeforce	SUM	207	2ED	207
Lifelace	CED	208	2ED	208
Lifelace	CEI	208	2ED	208
Lifelace	SUM	208	2ED	208
Lifetap	CED	62	2ED	62
Lifetap	CEI	62	2ED	62
Lifetap	SUM	63	3ED	63
Light Up the Night	PMID	146p	MID	146
Light Up the Night	PMID	146s	MID	146
Light of Day	WC00	nl29sb	6ED	29
Light of the Legion	PGRN	19s	GRN	19
Light-Paws, Emperor's Voice	PNEO	25p	NEO	25
Light-Paws, Emperor's Voice	PNEO	25s	NEO	25
Lightning Blast	7ED	200★	7ED	200
Lightning Blast	8ED	200★	8ED	200
Lightning Elemental	10E	217★	10E	217
Lightning Elemental	7ED	201★	7ED	201
Lightning Elemental	8ED	201★	8ED	201
Lightning Elemental	9ED	201★	9ED	201
Lightning Runner	PAER	90s	AER	90
Lightning, Army of One	PFIN	233s	FIN	233
Lightstall Inquisitor	PEOE	24p	EOE	24
Lightstall Inquisitor	PEOE	24s	EOE	24
Likeness Looter	PWOE	208p	WOE	208
Likeness Looter	PWOE	208s	WOE	208
Lilah, Undefeated Slickshot	POTJ	217p	OTJ	217
Lilah, Undefeated Slickshot	POTJ	217s	OTJ	217
Liliana of the Veil	PDMU	97p	DMU	97
Liliana of the Veil	PDMU	97s	DMU	97
Liliana's Contract	PM19	107s	M19	107
Liliana's Mastery	FDC	109	AKH	98
Liliana's Mastery	PAKH	98s	AKH	98
Liliana's Reaver	FDC	110	C14	147
Liliana's Standard Bearer	PM21	110p	M21	110
Liliana's Standard Bearer	PM21	110s	M21	110
Liliana, Death's Majesty	PAKH	97s	AKH	97
Liliana, Dreadhorde General	PFDN	176s	FDN	176
Liliana, Dreadhorde General	PWAR	97p	WAR	97
Liliana, Dreadhorde General	PWAR	97s	WAR	97
Liliana, Heretical Healer // Liliana, Defiant Necromancer	PORI	106s	ORI	106
Liliana, Untouched by Death	PM19	106s	M19	106
Liliana, Waker of the Dead	PM21	108p	M21	108
Liliana, Waker of the Dead	PM21	108s	M21	108
Liliana, the Last Hope	MED	GR2	2X2	333
Liliana, the Last Hope	PEMN	93s	EMN	93
Lilting Refrain	WC00	tvdl83sb	USG	83
Lindblum, Industrial Regency // Mage Siege	PFIN	285s	FIN	285
Linden, the Steadfast Queen	PELD	20p	ELD	20
Linden, the Steadfast Queen	PELD	20s	ELD	20
Lingering Souls	FRC	27	DDK	24
Linvala, Shield of Sea Gate	PZNR	226p	ZNR	226
Linvala, Shield of Sea Gate	PZNR	226s	ZNR	226
Linvala, the Preserver	FDC	37	OGW	25
Linvala, the Preserver	POGW	25s	OGW	25
Lion Sash	PNEO	26p	NEO	26
Lion Sash	PNEO	26s	NEO	26
Liquimetal Coating	BRR	91z	BRR	91
Lithoform Engine	PZNR	245p	ZNR	245
Lithoform Engine	PZNR	245s	ZNR	245
Living Artifact	CED	209	2ED	209
Living Artifact	CEI	209	2ED	209
Living Artifact	SUM	209	2ED	209
Living Death	40K	202★	40K	202
Living Lands	CED	210	2ED	210
Living Lands	CEI	210	2ED	210
Living Lands	SUM	210	2ED	210
Living Lore	PDTK	61s	DTK	61
Living Terrain	8ED	260★	8ED	260
Living Twister	PWAR	203p	WAR	203
Living Twister	PWAR	203s	WAR	203
Living Wall	CED	259	2ED	259
Living Wall	CEI	259	2ED	259
Living Wall	SUM	262	3ED	262
Living Wish	WC02	bk124	JUD	124
Lizard Blades	PNEO	153p	NEO	153
Lizard Blades	PNEO	153s	NEO	153
Llanowar Behemoth	8ED	261★	8ED	261
Llanowar Behemoth	9ED	252★	9ED	252
Llanowar Elves	7ED	253★	7ED	253
Llanowar Elves	9ED	253★	9ED	253
Llanowar Elves	CED	211	2ED	211
Llanowar Elves	CEI	211	2ED	211
Llanowar Elves	FDC	213	10E	274
Llanowar Elves	PTC	bl261	4ED	261
Llanowar Elves	SUM	211	2ED	211
Llanowar Elves	WC00	jk239	6ED	239
Llanowar Elves	WC00	nl239	6ED	239
Llanowar Elves	WC01	jt253	7ED	253
Llanowar Elves	WC02	bk253	7ED	253
Llanowar Elves	WC02	shh253	7ED	253
Llanowar Elves	WC99	ml239	6ED	239
Llanowar Greenwidow	PDMU	169p	DMU	169
Llanowar Greenwidow	PDMU	169s	DMU	169
Llanowar Loamspeaker	PDMU	170p	DMU	170
Llanowar Loamspeaker	PDMU	170s	DMU	170
Llanowar Tribe	FDC	214	GN3	102
Llanowar Wastes	9ED	322★	9ED	322
Llanowar Wastes	PBRO	264p	BRO	264
Llanowar Wastes	PBRO	264s	BRO	264
Llanowar Wastes	WC01	jt141	APC	141
Lluwen, Imperfect Naturalist	PECL	232p	ECL	232
Loading Zone	PEOE	196p	EOE	196
Loading Zone	PEOE	196s	EOE	196
Lobelia Sackville-Baggins	PLTR	399s	LTR	399
Lobelia Sackville-Baggins	PLTR	93s	LTR	93
Lobotomy	WC01	ar255sb	F06	4
Lobotomy	WC98	bs267	TMP	267
Loch Mare	PECL	57p	ECL	57
Lochmere Serpent	PELD	195p	ELD	195
Lochmere Serpent	PELD	195s	ELD	195
Lodestone Golem	BRR	92z	BRR	92
Lokhust Heavy Destroyer	40K	38★	40K	38
Lolth, Spider Queen	PAFR	112a	AFR	112
Lolth, Spider Queen	PAFR	112p	AFR	112
Lolth, Spider Queen	PAFR	112s	AFR	112
Lone Wolf	7ED	254★	7ED	254
Lone Wolf	8ED	262★	8ED	262
Lonely Sandbar	FDC	305	C13	305
Long Rest	PAFR	193a	AFR	193
Long Rest	PAFR	193p	AFR	193
Long Rest	PAFR	193s	AFR	193
Longbow Archer	7ED	26★	7ED	26
Lonis, Cryptozoologist	PMH2	204s	MH2	204
Looming Shade	7ED	145★	7ED	145
Looming Shade	8ED	140★	8ED	140
Looming Shade	9ED	142★	9ED	142
Loot, Exuberant Explorer	FDC	215	FDN	106
Loot, Exuberant Explorer	PFDN	106p	FDN	106
Loot, Exuberant Explorer	PFDN	106s	FDN	106
Loot, the Pathfinder	PDFT	212p	DFT	212
Loot, the Pathfinder	PDFT	212s	DFT	212
Lord Skitter's Blessing	PWOE	98p	WOE	98
Lord Skitter's Blessing	PWOE	98s	WOE	98
Lord Skitter, Sewer King	PWOE	97p	WOE	97
Lord Skitter, Sewer King	PWOE	97s	WOE	97
Lord Windgrace	OC18	43	C18	43
Lord Xander, the Collector	PSNC	197p	SNC	197
Lord Xander, the Collector	PSNC	197s	SNC	197
Lord of Atlantis	7ED	83★	7ED	83
Lord of Atlantis	CED	63	2ED	63
Lord of Atlantis	CEI	63	2ED	63
Lord of Atlantis	SUM	64	3ED	64
Lord of Atlantis	WC01	ab83	7ED	83
Lord of Change	40K	24★	40K	24
Lord of the Accursed	FDC	111	AKH	99
Lord of the Forsaken	PMID	110p	MID	110
Lord of the Forsaken	PMID	110s	MID	110
Lord of the Pit	10E	154★	10E	154
Lord of the Pit	CED	115	2ED	115
Lord of the Pit	CEI	115	2ED	115
Lord of the Pit	SUM	116	3ED	116
Lord of the Void	RVR	327z	RVR	327
Lore Weaver	PBBD	22s	BBD	22
Lorehold Command	PSTX	199p	STX	199
Lorehold Command	PSTX	199s	STX	199
Lorehold, the Historian	PSOS	201p	SOS	201
Lost Isle Calling	PLTR	61s	LTR	61
Lost Legacy	PKLD	88s	KLD	88
Lost Soul	ITP	20	4ED	145
Lost Soul	RQS	19	4ED	145
Lost in the Maze	PMKM	64p	MKM	64
Lost in the Maze	PMKM	64s	MKM	64
Lotho, Corrupt Shirriff	PLTR	213s	LTR	213
Lotus Cobra	PZNR	193p	ZNR	193
Lotus Cobra	PZNR	193s	ZNR	193
Lotus Field	PM20	249p	M20	249
Lotus Field	PM20	249s	M20	249
Lotus Ring	PBIG	24p	BIG	24
Lotuslight Dancers	PTDM	204p	TDM	204
Lotuslight Dancers	PTDM	204s	TDM	204
Louisoix's Sacrifice	PFIN	59s	FIN	59
Lovestruck Beast // Heart's Desire	PELD	165p	ELD	165
Lovestruck Beast // Heart's Desire	PELD	165s	ELD	165
Loxodon Lifechanter	PM20	27p	M20	27
Loxodon Lifechanter	PM20	27s	M20	27
Loyal Warhound	PAFR	23a	AFR	23
Loyal Warhound	PAFR	23p	AFR	23
Loyal Warhound	PAFR	23s	AFR	23
Lucius the Eternal	40K	130★	40K	130
Ludevic, Necrogenius // Olag, Ludevic's Hubris	PMID	233s	MID	233
Lukka, Bound to Ruin	PONE	207p	ONE	207
Lukka, Bound to Ruin	PONE	207s	ONE	207
Lukka, Coppercoat Outcast	PIKO	125p	IKO	125
Lukka, Coppercoat Outcast	PIKO	125s	IKO	125
Lumbering Battlement	PRNA	15s	RNA	15
Lumbering Falls	PBFZ	239s	BFZ	239
Lumbering Worldwagon	PDFT	168p	DFT	168
Lumbering Worldwagon	PDFT	168s	DFT	168
Lumen-Class Frigate	PEOE	25p	EOE	25
Lumen-Class Frigate	PEOE	25s	EOE	25
Lumengrid Warden	9ED	84★	9ED	84
Luminarch Aspirant	PZNR	24p	ZNR	24
Luminarch Aspirant	PZNR	24s	ZNR	24
Lumra, Bellow of the Woods	PBLB	183p	BLB	183
Lumra, Bellow of the Woods	PBLB	183s	BLB	183
Lunar Convocation	PBLB	223p	BLB	223
Lunar Convocation	PBLB	223s	BLB	223
Lunar Insight	PFDN	46s	FDN	46
Lupine Prototype	PEMN	197s	EMN	197
Lure	10E	276★	10E	276
Lure	7ED	255★	7ED	255
Lure	8ED	263★	8ED	263
Lure	CED	212	2ED	212
Lure	CEI	212	2ED	212
Lure	SUM	212	2ED	212
Lurrus of the Dream-Den	MUL	181z	MUL	181
Lurrus of the Dream-Den	PIKO	226p	IKO	226
Lurrus of the Dream-Den	PIKO	226s	IKO	226
Lush Portico	PMKM	263p	MKM	263
Lush Portico	PMKM	263s	MKM	263
Lutri, the Spellchaser	MUL	182z	MUL	182
Lutri, the Spellchaser	PIKO	227p	IKO	227
Lutri, the Spellchaser	PIKO	227s	IKO	227
Luxior, Giada's Gift	PSNC	240p	SNC	240
Luxior, Giada's Gift	PSNC	240s	SNC	240
Luxury Suite	PCLB	355s	CLB	355
Lychguard	40K	39★	40K	39
Lyra Dawnbringer	FDC	38	DMR	13
Lyra Dawnbringer	PDOM	26p	DOM	26
Lyra Dawnbringer	PDOM	26s	DOM	26
Mabel, Heir to Cragflame	PBLB	224p	BLB	224
Mabel, Heir to Cragflame	PBLB	224s	BLB	224
Machinist's Arsenal	PFIN	23s	FIN	23
Madcap Experiment	PKLD	122s	KLD	122
Maddening Cacophony	PZNR	67p	ZNR	67
Maddening Cacophony	PZNR	67s	ZNR	67
Maelstrom Artisan // Rocket Volley	PSOS	122p	SOS	122
Maelstrom of the Spirit Dragon	PTDM	260p	TDM	260
Maelstrom of the Spirit Dragon	PTDM	260s	TDM	260
Maestros Ascendancy	PSNC	198p	SNC	198
Maestros Ascendancy	PSNC	198s	SNC	198
Maestros Confluence	PNCC	75p	NCC	75
Maestros Diabolist	PSNC	200p	SNC	200
Maestros Diabolist	PSNC	200s	SNC	200
Magda, Brazen Outlaw	PKHM	142p	KHM	142
Magda, Brazen Outlaw	PKHM	142s	KHM	142
Magda, the Hoardmaster	POTJ	133p	OTJ	133
Magda, the Hoardmaster	POTJ	133s	OTJ	133
Maggot Carrier	8ED	142★	8ED	142
Magical Hack	CED	64	2ED	64
Magical Hack	CEI	64	2ED	64
Magical Hack	SUM	65	3ED	65
Magistrate's Scepter	PM19	238s	M19	238
Magma Opus	PSTX	203p	STX	203
Magma Opus	PSTX	203s	STX	203
Magmablood Archaic	PSOS	123p	SOS	123
Magmaquake	FDC	164	AFC	133
Magmatic Channeler	PZNR	148p	ZNR	148
Magmatic Channeler	PZNR	148s	ZNR	148
Magmatic Galleon	PLCI	157p	LCI	157
Magmatic Galleon	PLCI	157s	LCI	157
Magmatic Hellkite	PTDM	111p	TDM	111
Magmatic Hellkite	PTDM	111s	TDM	111
Magnetic Mountain	SUM	163	3ED	163
Magnivore	9ED	202★	9ED	202
Magnus the Red	40K	131★	40K	131
Magus of the Bridge	PMH2	92s	MH2	92
Maha, Its Feathers Night	PBLB	100p	BLB	100
Maha, Its Feathers Night	PBLB	100s	BLB	100
Mahamoti Djinn	10E	90★	10E	90
Mahamoti Djinn	7ED	84★	7ED	84
Mahamoti Djinn	8ED	88★	8ED	88
Mahamoti Djinn	9ED	85★	9ED	85
Mahamoti Djinn	CED	65	2ED	65
Mahamoti Djinn	CEI	65	2ED	65
Mahamoti Djinn	SUM	66	3ED	66
Mai, Scornful Striker	PTLA	109s	TLA	109
Majestic Genesis	PCLB	240s	CLB	240
Majestic Myriarch	PHOU	122s	HOU	122
Make an Example	PNCC	37p	NCC	37
Malanthrope	40K	132★	40K	132
Malcator, Purity Overseer	PONE	208p	ONE	208
Malcator, Purity Overseer	PONE	208s	ONE	208
Malcolm, Alluring Scoundrel	PLCI	63p	LCI	63
Malcolm, Alluring Scoundrel	PLCI	63s	LCI	63
Malcolm, the Eyes	POTJ	219p	OTJ	219
Malcolm, the Eyes	POTJ	219s	OTJ	219
Malevolent Hermit // Benevolent Geist	PMID	61s	MID	61
Man-o'-War	WC97	js37	VIS	37
Man-o'-War	WC97	pm37b	A25	64
Man-o'-War	WC98	bs37	VIS	37
Mana Breach	7ED	85★	7ED	85
Mana Clash	7ED	202★	7ED	202
Mana Clash	8ED	202★	8ED	202
Mana Clash	9ED	203★	9ED	203
Mana Flare	CED	163	2ED	163
Mana Flare	CEI	163	2ED	163
Mana Flare	SUM	164	3ED	164
Mana Geyser	FDC	165	5DN	75
Mana Leak	8ED	89★	8ED	89
Mana Leak	9ED	86★	9ED	86
Mana Leak	WC03	dh89sb	2X2	58
Mana Leak	WC03	dz89	8ED	89
Mana Leak	WC04	gn89	8ED	89
Mana Leak	WC04	mb89sb	2X2	58
Mana Leak	WC98	rb36	STH	36
Mana Maze	WC01	ab59sb	INV	59
Mana Screw	UNH	123★	UNH	123
Mana Sculpt	PSOS	57p	SOS	57
Mana Short	7ED	86★	7ED	86
Mana Short	CED	66	2ED	66
Mana Short	CEI	66	2ED	66
Mana Short	SUM	67	3ED	67
Mana Short	WC02	cr86sb	2ED	66
Mana Vault	CED	260	2ED	260
Mana Vault	CEI	260	2ED	260
Mana Vault	SUM	263	3ED	263
Manabarbs	5ED	250†	5ED	250
Manabarbs	CED	164	2ED	164
Manabarbs	CEI	164	2ED	164
Manabarbs	SUM	165	3ED	165
Manaform Hellkite	PVOW	170p	VOW	170
Manaform Hellkite	PVOW	170s	VOW	170
Managorger Hydra	FDC	216	BLC	230
Managorger Hydra	PORI	186p	ORI	186
Managorger Hydra	PORI	186s	ORI	186
Mandate of Abaddon	40K	40★	40K	40
Manifestation Sage	PSTX	205p	STX	205
Manifestation Sage	PSTX	205s	STX	205
Manifold Mouse	PBLB	143p	BLB	143
Manifold Mouse	PBLB	143s	BLB	143
Mantis Engine	10E	333★	10E	333
Mantle of the Wolf	PTHB	178p	THB	178
Mantle of the Wolf	PTHB	178s	THB	178
Maralen, Fae Ascendant	PECL	233p	ECL	233
Marang River Regent // Coil and Catch	PTDM	51p	TDM	51
Marang River Regent // Coil and Catch	PTDM	51s	TDM	51
Marath, Will of the Wild	OC13	198	C13	198
Marauding Raptor	PM20	150p	M20	150
Marauding Raptor	PM20	150s	M20	150
Marble Diamond	7ED	306★	7ED	306
Marble Diamond	FDC	267	6ED	298
Marble Titan	9ED	26★	9ED	26
March from the Tomb	PBFZ	214s	BFZ	214
March of Burgeoning Life	PNEO	201p	NEO	201
March of Burgeoning Life	PNEO	201s	NEO	201
March of Otherworldly Light	PNEO	28p	NEO	28
March of Otherworldly Light	PNEO	28s	NEO	28
March of Reckless Joy	PNEO	154p	NEO	154
March of Reckless Joy	PNEO	154s	NEO	154
March of Swirling Mist	PNEO	61p	NEO	61
March of Swirling Mist	PNEO	61s	NEO	61
March of Wretched Sorrow	PNEO	111p	NEO	111
March of Wretched Sorrow	PNEO	111s	NEO	111
March of the Machines	10E	91★	10E	91
March of the World Ooze	PDFT	169p	DFT	169
March of the World Ooze	PDFT	169s	DFT	169
Marchesa's Decree	FDC	113	CN2	44
Marchesa, Dealer of Death	POTJ	220p	OTJ	220
Marchesa, Dealer of Death	POTJ	220s	OTJ	220
Mardu Ascendancy	PKTK	185s	KTK	185
Mardu Siegebreaker	PTDM	206p	TDM	206
Mardu Siegebreaker	PTDM	206s	TDM	206
Mardu Strike Leader	PFRF	75s	FRF	75
Marina Vendrell	PDSK	221p	DSK	221
Marina Vendrell	PDSK	221s	DSK	221
Marina Vendrell's Grimoire	PDSK	64p	DSK	64
Marina Vendrell's Grimoire	PDSK	64s	DSK	64
Marionette Master	PKLD	90s	KLD	90
Marketback Walker	PDFT	235p	DFT	235
Marketback Walker	PDFT	235s	DFT	235
Markov Dreadknight	PSOI	122s	PSOI	122
Maro	7ED	256★	7ED	256
Maro	8ED	264★	8ED	264
Maro	9ED	254★	9ED	254
Marrow-Gnawer	PHUK	1	BLC	79
Marsh Flats	PMH2	248s	MH2	248
Martial Coup	40K	189★	40K	189
Martial Coup	FRC	28	40K	189
Marvin, Murderous Mimic	PDSK	253p	DSK	253
Marvin, Murderous Mimic	PDSK	253s	DSK	253
Marwyn, the Nurturer	PDOM	172p	DOM	172
Marwyn, the Nurturer	PDOM	172s	DOM	172
Mary Read and Anne Bonny	ACR	120z	ACR	120
Mascot Exhibition	PSTX	5p	STX	5
Mascot Exhibition	PSTX	5s	STX	5
Mask of Griselbrand	PMID	111p	MID	111
Mask of Griselbrand	PMID	111s	MID	111
Mask of Memory	40K	243★	40K	243
Mask of the Schemer	PNCC	28p	NCC	28
Maskwood Nexus	PKHM	240p	KHM	240
Maskwood Nexus	PKHM	240s	KHM	240
Mass Manipulation	PRNA	42p	RNA	42
Mass Polymorph	FRC	42	M11	64
Massacre Girl, Known Killer	PMKM	94p	MKM	94
Massacre Girl, Known Killer	PMKM	94s	MKM	94
Massacre Wurm	PM21	114p	M21	114
Massacre Wurm	PM21	114s	M21	114
Master Decoy	8ED	29★	8ED	29
Master Decoy	9ED	27★	9ED	27
Master Healer	7ED	27★	7ED	27
Master Healer	8ED	30★	8ED	30
Master Healer	9ED	28★	9ED	28
Master Transmuter	FDC	67	2XM	58
Master Trinketeer	PKLD	21s	KLD	21
Master of Ceremonies	PNCC	18p	NCC	18
Master of Cruelties	RVR	373z	RVR	373
Master of Death	PMH2	205s	MH2	205
Master of Etherium	FDC	66	2XM	57
Master of Pearls	PKTK	18s	KTK	18
Master of Winds	PZNR	68p	ZNR	68
Master of Winds	PZNR	68s	ZNR	68
Masterful Replication	PM20	65p	M20	65
Masterful Replication	PM20	65s	M20	65
Mastermind's Acquisition	PRIX	77p	RIX	77
Mastermind's Acquisition	PRIX	77s	RIX	77
Mastery of the Unseen	PFRF	19s	FRF	19
Mastery of the Unseen	UGIN	19	FRF	19
Masticore	WC00	jf134	UDS	134
Masticore	WC00	jk134	UDS	134
Masticore	WC00	jk134sb	UDS	134
Masticore	WC99	kb143b	UDS	134
Masticore	WC99	mlp134sb	UDS	134
Mathemagics	PSOS	58p	SOS	58
Matoya, Archon Elder	PFIN	62s	FIN	62
Matter Reshaper	POGW	6s	OGW	6
Maul of the Skyclaves	PZNR	27p	ZNR	27
Maul of the Skyclaves	PZNR	27s	ZNR	27
Mausoleum Secrets	PGRN	75p	GRN	75
Mausoleum Secrets	PGRN	75s	GRN	75
Mausoleum Wanderer	PEMN	69s	EMN	69
Mavinda, Students' Advocate	PSTX	21p	STX	21
Mavinda, Students' Advocate	PSTX	21s	STX	21
Mavren Fein, Dusk Apostle	PXLN	24p	XLN	24
Mavren Fein, Dusk Apostle	PXLN	24s	XLN	24
Mawcor	7ED	87★	7ED	87
Mawloc	40K	133★	40K	133
Mayael the Anima	OC13	199	C13	199
Mayael the Anima	OCM1	8	ALA	179
Mazemind Tome	BRR	93z	BRR	93
Mazemind Tome	FDC	268	BRR	30
Mazemind Tome	PM21	232p	M21	232
Mazemind Tome	PM21	232s	M21	232
Mazzy, Truesword Paladin	PCLB	283s	CLB	283
Meathook Massacre II	PDSK	108p	DSK	108
Meathook Massacre II	PDSK	108s	DSK	108
Mechanized Production	PAER	38s	AER	38
Mechanized Warfare	PBRO	139p	BRO	139
Mechanized Warfare	PBRO	139s	BRO	139
Mechtitan Core	PNEO	249p	NEO	249
Mechtitan Core	PNEO	249s	NEO	249
Meditate	OLEP	76	TMP	76
Meditate	OLEP	77	TMP	76
Meek Attack	PECL	151p	ECL	151
Meekstone	7ED	307★	7ED	307
Meekstone	CED	261	2ED	261
Meekstone	CEI	261	2ED	261
Meekstone	PTC	ll335sb	2ED	261
Meekstone	SUM	264	3ED	264
Meekstone	WC00	nl299sb	2ED	261
Meekstone	WC01	ar307sb	2ED	261
Meeting of the Five	PSNC	202p	SNC	202
Meeting of the Five	PSNC	202s	SNC	202
Megrim	7ED	146★	7ED	146
Megrim	8ED	143★	8ED	143
Megrim	9ED	144★	9ED	144
Melira, the Living Cure	PONE	209p	ONE	209
Melira, the Living Cure	PONE	209s	ONE	209
Memorial Vault	PEOE	145p	EOE	145
Memorial Vault	PEOE	145s	EOE	145
Memorial to Folly	FDC	306	C19	259
Memorial to Glory	40K	283★	40K	283
Memories Returning	PFIN	63s	FIN	63
Memory Deluge	PMID	62p	MID	62
Memory Deluge	PMID	62s	MID	62
Memory Guardian	FDC	68	DFT	49
Memory Lapse	7ED	88★	7ED	88
Memory Lapse	PTC	shr32asb	5ED	103
Memory Lapse	PTC	shr32bsb	5ED	103
Memory Lapse	WC02	cr88	7ED	88
Memory Lapse	WC98	rb32	5ED	103
Mendicant Core, Guidelight	PDFT	213p	DFT	213
Mendicant Core, Guidelight	PDFT	213s	DFT	213
Mending Hands	9ED	29★	9ED	29
Mental Note	WC02	rl46	JUD	46
Mentor of the Meek	PM19	27s	M19	27
Merchant of Secrets	8ED	90★	8ED	90
Merchant of Truth	FDC	39	MKC	11
Merchant's Dockhand	PAER	163s	AER	163
Mercurial Spelldancer	PONE	61p	ONE	61
Mercurial Spelldancer	PONE	61s	ONE	61
Meren of Clan Nel Toth	OC15	49	C15	49
Merfolk Looter	7ED	89★	7ED	89
Merfolk Looter	WC01	ab89	7ED	89
Merfolk Looter	WC02	shh89	7ED	89
Merfolk of the Pearl Trident	7ED	90★	7ED	90
Merfolk of the Pearl Trident	CED	67	2ED	67
Merfolk of the Pearl Trident	CEI	67	2ED	67
Merfolk of the Pearl Trident	ITP	10	2ED	67
Merfolk of the Pearl Trident	RQS	10	2ED	67
Merfolk of the Pearl Trident	SUM	68	3ED	68
Merfolk of the Pearl Trident	WC01	ab90	7ED	90
Meria, Scholar of Antiquity	PDMU	206p	DMU	206
Meria, Scholar of Antiquity	PDMU	206s	DMU	206
Merry, Esquire of Rohan	PLTR	215s	LTR	215
Mesa Pegasus	CED	29	2ED	29
Mesa Pegasus	CEI	29	2ED	29
Mesa Pegasus	ITP	5	2ED	29
Mesa Pegasus	RQS	5	2ED	29
Mesa Pegasus	SUM	28	30A	28
Metallic Mimic	FDC	269	AER	164
Metallic Mimic	PAER	164s	AER	164
Metallurgic Summonings	PKLD	56s	KLD	56
Metalwork Colossus	PKLD	222s	KLD	222
Metalworker	WC00	jf135	UDS	135
Metamorphic Alteration	PM19	60s	M19	60
Meteor Swarm	PAFR	155a	AFR	155
Meteor Swarm	PAFR	155p	AFR	155
Meteor Swarm	PAFR	155s	AFR	155
Meticulous Archive	PMKM	264p	MKM	264
Meticulous Archive	PMKM	264s	MKM	264
Metropolis Reformer	FDC	40	MAT	104
Metropolis Reformer	PMAT	4p	MAT	4
Mezzio Mugger	PNCC	49p	NCC	49
Midgar, City of Mako // Reactor Raid	PFIN	286s	FIN	286
Midnight Entourage	PAER	66s	AER	66
Midnight Oil	PKLD	92s	KLD	92
Midnight Reaper	FDC	114	DRC	44
Midnight Reaper	PGRN	77p	GRN	77
Might Weaver	10E	278★	10E	278
Might of Oaks	7ED	257★	7ED	257
Might of Oaks	8ED	265★	8ED	265
Might of Oaks	9ED	255★	9ED	255
Mightform Harmonizer	PEOE	200p	EOE	200
Mightform Harmonizer	PEOE	200s	EOE	200
Mighty Servant of Leuk-o	PCLB	324s	CLB	324
Migloz, Maze Crusher	PONE	210p	ONE	210
Migloz, Maze Crusher	PONE	210s	ONE	210
Miirym, Sentinel Wyrm	PCLB	284s	CLB	284
Mijae Djinn	SUM	166	3ED	166
Mila, Crafty Companion // Lukka, Wayward Bonder	PSTX	153s	STX	153
Millicent, Restless Revenant	OVOC	1	VOC	1
Millstone	7ED	308★	7ED	308
Millstone	8ED	307★	8ED	307
Millstone	9ED	304★	9ED	304
Millstone	BRR	95z	BRR	95
Millstone	PTC	ml336	4ED	336
Millstone	PTC	shr336	4ED	336
Millstone	SUM	265	3ED	265
Mimeoplasm, Revered One	PDFT	214p	DFT	214
Mimeoplasm, Revered One	PDFT	214s	DFT	214
Mina and Denn, Wildborn	POGW	156s	OGW	156
Minas Tirith	PLTR	256s	LTR	256
Mind Bend	10E	93★	10E	93
Mind Bend	8ED	92★	8ED	92
Mind Bend	9ED	87★	9ED	87
Mind Flayer	PAFR	63a	AFR	308
Mind Flayer	PAFR	63p	AFR	63
Mind Flayer	PAFR	63s	AFR	63
Mind Rot	7ED	147★	7ED	147
Mind Rot	8ED	144★	8ED	144
Mind Rot	9ED	145★	9ED	145
Mind Slash	8ED	145★	8ED	145
Mind Sludge	8ED	146★	8ED	146
Mind Stone	40K	244★	40K	244
Mind Stone	40K	245★	40K	245
Mind Stone	FDC	271	10E	335
Mind Stone	WC97	pm153	WTH	153
Mind Twist	CED	116	2ED	116
Mind Twist	CEI	116	2ED	116
Mind Twist	SUM	117	3ED	117
Mind into Matter	PSOS	202p	SOS	202
Mindleech Mass	RVR	375z	RVR	375
Mindlink Mech	PNEO	62p	NEO	62
Mindlink Mech	PNEO	62s	NEO	62
Mindslicer	9ED	146★	9ED	146
Mindsplice Apparatus	PONE	63p	ONE	63
Mindsplice Apparatus	PONE	63s	ONE	63
Mindspring Merfolk	PDFT	51p	DFT	51
Mindspring Merfolk	PDFT	51s	DFT	51
Mindwrack Demon	PSOI	124s	SOI	124
Mines of Moria	PLTR	257s	LTR	257
Minion of the Mighty	FDC	166	AFR	156
Minion of the Mighty	PAFR	156a	AFR	156
Minion of the Mighty	PAFR	156p	AFR	156
Minion of the Mighty	PAFR	156s	AFR	156
Minsc & Boo, Timeless Heroes	PCLB	285p	CLB	285
Minsc & Boo, Timeless Heroes	PCLB	285s	CLB	285
Minsc, Beloved Ranger	PAFR	227a	AFR	227
Minsc, Beloved Ranger	PAFR	227p	AFR	227
Minsc, Beloved Ranger	PAFR	227s	AFR	227
Minwu, White Mage	PFIN	26s	FIN	26
Mirage Mirror	PHOU	165p	HOU	165
Mirage Mirror	PHOU	165s	HOU	165
Mirari	WC03	dz303	ODY	303
Mirari's Wake	WC03	dz139	JUD	139
Mire Triton	FDC	115	CMM	174
Mirran Safehouse	PONE	232p	ONE	232
Mirran Safehouse	PONE	232s	ONE	232
Mirrex	PONE	254p	ONE	254
Mirrex	PONE	254s	ONE	254
